cid,昵称,评论内容,时间,ip
7592261346353775409,Ä,因为这是我平庸生活的唯一变数[流泪],1767711100,新疆
7592359724331729706,X.,5:13还有谁！！！,1767734014,四川
7593705228454871859,syi,有没有怪奇迷？,1768047278,河南
7592587770495075072,tearsvaw,“那天下了好大好大的雨，大到你都没听见我那声对不起”,1767787099,内蒙古
7597817216419922737,无趣👿,看着故人的离去，没有任何办法，而只能看着，无能为力.......,1769004675,新疆
7593626342547391269,顺弦断.,物理学上，忘掉一个人需要7年,1768028912,湖南
7593683636316177193,宿命蛊,[流泪]没人觉得在这种天气下感觉什么事都瞬间释然了很激动又很自由,1768042251,山东
7594037647208579889,a7,盾山你慢点说，我有点翻译不过来了,1768124676,广东
7592627772360065841,<许愿得到自由>,"之前看到有人说，你会在极端天气下感到兴奋,因为这样的天气是自然意象的强烈信号,类似狂风骤雨,漫山飞雪,它们无意中削弱了你对人类社会的感知,你会潜意识里觉得这是从地球别处吹来的风,你的视野在无形中被放大，这个时候你真正理解到你存在于地球上,存在于宇宙中,而不是人类打造的城市里,也只有这时你真正与万物连接。我们迷恋的不是狂风暴雨本身，而是日常秩序裂开缝隙时，从裂缝里涌进来的、带着青草腥气的风。那一刻钟的喧哗，是青春在钢筋森林里找到的野生洞穴，所有的欢呼都沾着雨水，像某种远古而新鲜的仪式",1767796413,河南
7592992588132287286,强壮老奶/🩰🎶,我一直以为我变态呢，我都不敢说，有自然灾害的时候我超级兴奋不知道为啥[捂脸],1767881354,黑龙江
7598582431570789157,焦糖小腰果,一种失序的疯狂感,1769182841,宁夏
7594005248214860581,伪素颜.1⃣,没人懂怪奇物语吗[流泪],1768117132,山东
7592289852705768250,zili★,之前评论区见的，大概是“极端天气是重复生活里的唯一变量”[抱紧自己],1767717740,河南
7592294178114863921,farewell,我遇到这种极端天气，我直接肾上腺素全部拉满，见人就咬,1767718745,湖北
7592614190197080882,猫猫🐱,因为极端天气时你生活里的唯一变数[憨笑],1767793250,天津
7596621323665949455,QwQian,因为那是你生活常量中唯一的变量,1768726234,陕西
7602879537793319737,逸风,忘记一个人需要多久,1770183338,贵州
7594323129024529189,M K Y🕸️,因为极端天气时 会让人肾上腺素狂飙[捂脸],1768191145,广东
7593788897349321508,Catiel,“极端天气是重复生活里的唯一变量”,1768066768,江苏
7597777173588607790,ⅴꪀℓⅈꪀ,因为无限接近死亡很爽,1768995351,陕西
7592623134269834021,佐助,因为这是你常量生活中的唯一变量,1767795333,广东
7592623400549712689,幸福论,盾山你在唱歌吗,1767795396,广西
7592090033889887025,放假中,在学校发生极端天气最兴奋，顺便把教学楼也劈了更兴奋,1767671212,河北
7592074898344854329,用户9210691892306,为什么遇到极端天气会兴奋，因为这是我常量生活中的唯一变量[躺平],1767667687,江苏
7597738091533550385,Elmi _,2026年1月30日之前我彩票中奖3000万 ，感谢宇宙,1768986253,新疆
7596328195708928805,橡树,当时在新西兰拍的，跟怪奇物语一样一样的,1768657984,浙江
7592466254804665146,两秒钟,忘记一个人需要多久,1767758807,湖南
7594796575408702265,欺骗,你们谁懂，感到极端天气就感觉非常爽,1768301377,广东
7594052894774231848,长者,就像压抑许久后的爆发[逞强落泪],1768128225,广西
7591870390180496187,Hana.,明天结婚 和喜欢的人,1767620070,英国
